N,rank_method,fold_median,fold_mean,fold_min,fold_pos,total_3day,sharpe,max_dd
157,combined_pnl,465320.0,473332.8,450479,5,1436024,13.0284,27243
157,combined_sharpe,465320.0,473332.8,450479,5,1436024,13.0284,27243
150,combined_pnl,463882.0,473059.4,451367,5,1437532,12.6592,27757
100,combined_sharpe,449358.0,445290.4,402732,5,1327736,11.9854,31886
150,combined_sharpe,447436.0,456125.2,431635,5,1385754,11.6751,21988
75,combined_sharpe,416293.0,410082.0,376312,5,1217824,15.5862,33050
100,combined_pnl,413930.0,426535.4,413930,5,1304816,12.4411,34928
75,combined_pnl,394315.0,399389.8,379240,5,1208319,14.028,35226
50,combined_sharpe,386666.0,382468.6,354812,5,1139010,17.0997,30526
50,combined_pnl,370279.0,369230.0,331607,5,1105592,10.2139,28750
30,combined_sharpe,346464.0,348854.6,346464,5,1051344,72.9037,32223
20,combined_sharpe,345207.0,333251.0,313464,5,975841,18.7415,26608
30,combined_pnl,334172.0,332473.2,311872,5,994023,18.1868,34834
20,combined_pnl,327695.0,324595.4,297026,5,967586,13.8114,26323
