product,baseline_F1,tuned_F1,baseline_F2,tuned_F2,baseline_F3,tuned_F3,baseline_F4,tuned_F4,baseline_F5,tuned_F5,baseline_median,tuned_median,delta_median,baseline_fold_min,tuned_fold_min,fold_min_delta,baseline_3day,tuned_3day,delta_3day,baseline_n_pairs,tuned_n_pairs,added_n_pairs
PEBBLES_XS,-7425,20168,15056,27513,-7425,20168,896,20650,-7425,20168,-7425,20168,27593,-7425,20168,27593,8527,68331,59804,1,12,11
SNACKPACK_CHOCOLATE,328,13046,-4591,9150,328,13046,-3960,9150,328,13046,328,13046,12718,-4591,9150,13741,-8223,31346,39569,2,5,3
SNACKPACK_RASPBERRY,-3716,9065,-10282,1868,-3716,9065,-1950,9740,-3716,9065,-3716,9065,12781,-10282,1868,12150,-15948,20673,36621,1,1,0
MICROCHIP_CIRCLE,-1208,9165,11367,20796,-1208,9165,222,10084,-1208,9165,-1208,9165,10373,-1208,9165,10373,10381,40045,29664,0,8,8
SNACKPACK_VANILLA,-3475,12556,2672,8069,-3475,12556,4676,9344,-3475,12556,-3475,12556,16031,-3475,8069,11544,3873,29969,26096,3,9,6
SLEEP_POD_LAMB_WOOL,3114,14118,2205,7460,3114,14118,-16,9193,3114,14118,3114,14118,11004,-16,7460,7476,5303,30771,25468,2,6,4
PEBBLES_S,1542,5824,8582,18315,1542,5824,26569,32058,1542,5824,1542,5824,4282,1542,5824,4282,36693,56197,19504,6,24,18
TRANSLATOR_VOID_BLUE,4777,13087,10417,14887,4777,13087,5166,11829,4777,13087,4777,13087,8310,4777,11829,7052,20360,39803,19443,1,2,1
PEBBLES_M,5086,15873,18802,19757,5086,15873,7567,13469,5086,15873,5086,15873,10787,5086,13469,8383,31455,49099,17644,3,16,13
SNACKPACK_STRAWBERRY,4505,9254,13613,12943,4505,9254,5238,18673,4505,9254,4505,9254,4749,4505,9254,4749,23356,40870,17514,4,17,13
GALAXY_SOUNDS_DARK_MATTER,15214,17031,6721,15895,15214,17031,11734,14395,15214,17031,15214,17031,1817,6721,14395,7674,33669,47321,13652,3,10,7
SNACKPACK_PISTACHIO,2373,5681,8621,6426,2373,5681,-1752,10345,2373,5681,2373,5681,3308,-1752,5681,7433,9242,22452,13210,3,19,16
ROBOT_MOPPING,-2343,1072,994,2973,-2343,1072,-1710,5474,-2343,1072,-2343,1072,3415,-2343,1072,3415,-3059,9519,12578,0,1,1
ROBOT_DISHES,10218,3121,-2982,6379,10218,3121,7505,16701,10218,3121,10218,3121,-7097,-2982,3121,6103,14741,26201,11460,0,4,4
GALAXY_SOUNDS_SOLAR_WINDS,20165,24157,30243,35244,20165,24157,-387,1180,20165,24157,20165,24157,3992,-387,1180,1567,50021,60581,10560,1,4,3
