pair_idx,rank_in_ranking,a,b,delta_total,delta_fold_min,delta_fold_median,delta_day2,delta_day3,delta_day4
143,135,TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,6277,3097,3756,-576,3756,3097
139,131,TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,6277,3097,3756,-576,3756,3097
148,140,TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,6277,3097,3756,-576,3756,3097
141,133,TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,6277,3097,3756,-576,3756,3097
46,38,PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,5246,1385,-404,4265,-404,1385
42,34,PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,5246,1385,-404,4265,-404,1385
48,40,PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,5246,1385,-404,4265,-404,1385
106,98,PEBBLES_XS,UV_VISOR_AMBER,4438,1864,2067,507,2067,1864
67,59,SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,4176,843,1629,1704,1629,843
43,35,SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,4176,843,1629,1704,1629,843
65,57,SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,4176,843,1629,1704,1629,843
72,64,SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,4176,843,1629,1704,1629,843
110,102,PEBBLES_XS,UV_VISOR_AMBER,3899,1864,1213,822,1213,1864
104,96,PEBBLES_XS,UV_VISOR_AMBER,3899,1864,1213,822,1213,1864
108,100,PEBBLES_XS,UV_VISOR_AMBER,3899,1864,1213,822,1213,1864
114,106,SNACKPACK_STRAWBERRY,SLEEP_POD_POLYESTER,3763,443,1944,1376,1944,443
88,80,SNACKPACK_STRAWBERRY,SLEEP_POD_POLYESTER,3763,443,1944,1376,1944,443
102,94,SNACKPACK_STRAWBERRY,SLEEP_POD_POLYESTER,3763,443,1944,1376,1944,443
111,103,SNACKPACK_STRAWBERRY,SLEEP_POD_POLYESTER,3763,443,1944,1376,1944,443
162,154,SNACKPACK_PISTACHIO,MICROCHIP_OVAL,3468,589,2252,627,2252,589
163,155,SNACKPACK_PISTACHIO,MICROCHIP_OVAL,3468,589,2252,627,2252,589
164,156,SNACKPACK_PISTACHIO,MICROCHIP_OVAL,3468,589,2252,627,2252,589
107,99,GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,2269,1896,-14,387,-14,1896
93,85,GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,2269,1896,-14,387,-14,1896
90,82,GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,2269,1896,-14,387,-14,1896
68,60,SLEEP_POD_POLYESTER,UV_VISOR_AMBER,2146,1173,0,973,0,1173
55,47,SLEEP_POD_POLYESTER,UV_VISOR_AMBER,2146,1173,0,973,0,1173
54,46,SLEEP_POD_POLYESTER,UV_VISOR_AMBER,2146,1173,0,973,0,1173
53,45,SLEEP_POD_POLYESTER,UV_VISOR_AMBER,2146,1173,0,973,0,1173
115,107,SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,2068,1516,1644,-1092,1644,1516
125,117,SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,2068,1516,1644,-1092,1644,1516
129,121,SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,2068,1516,1644,-1092,1644,1516
128,120,SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,2068,1516,1644,-1092,1644,1516
79,71,GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,2036,1663,-14,387,-14,1663
84,76,UV_VISOR_AMBER,SLEEP_POD_POLYESTER,1465,1588,0,-123,0,1588
92,84,UV_VISOR_AMBER,SLEEP_POD_POLYESTER,1465,1588,0,-123,0,1588
101,93,UV_VISOR_AMBER,SLEEP_POD_POLYESTER,1465,1588,0,-123,0,1588
99,91,UV_VISOR_AMBER,SLEEP_POD_POLYESTER,1465,1588,0,-123,0,1588
