pair_idx,rank_in_ranking,a,b,delta_total,delta_fold_min,delta_fold_median,delta_day2,delta_day3,delta_day4
86,78,PANEL_2X4,PEBBLES_XS,-2097,-1927,-304,134,-304,-1927
109,101,PANEL_2X4,PEBBLES_XS,-2097,-1927,-304,134,-304,-1927
87,79,PANEL_2X4,PEBBLES_XS,-2097,-1927,-304,134,-304,-1927
136,128,SNACKPACK_VANILLA,PANEL_1X2,-3602,-2283,-919,-399,-919,-2283
137,129,SNACKPACK_VANILLA,PANEL_1X2,-3616,-2297,-919,-399,-919,-2297
138,130,SNACKPACK_VANILLA,PANEL_1X2,-3726,-2408,-919,-399,-919,-2408
135,127,SNACKPACK_VANILLA,PANEL_1X2,-3726,-2408,-919,-399,-919,-2408
165,157,SNACKPACK_PISTACHIO,TRANSLATOR_ASTRO_BLACK,-3952,-826,-3615,489,-3615,-826
133,125,ROBOT_MOPPING,PANEL_1X4,-8818,-1276,-1651,-5891,-1651,-1276
74,66,PANEL_2X4,PEBBLES_XL,-10084,-13739,5600,-1945,5600,-13739
40,32,PANEL_2X4,PEBBLES_XL,-10084,-13739,5600,-1945,5600,-13739
58,50,PANEL_2X4,PEBBLES_XL,-10084,-13739,5600,-1945,5600,-13739
69,61,TRANSLATOR_VOID_BLUE,PEBBLES_XL,-18039,-17101,1041,-1979,1041,-17101
