pair_idx,rank_in_ranking,a,b,slope,intercept,day2_pnl,day3_pnl,day4_pnl,total_3day,fold_min,fold_median,fold_mean,sharpe_3day,elapsed_s,delta_total,delta_fold_min,delta_fold_median,delta_day2,delta_day3,delta_day4
143,135,TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,-0.3542686505312782,12974.769710486617,519649,469076,453576,1442301,453576,469076,476090.6,13.9138,41.60225772857666,6277,3097,3756,-576,3756,3097
139,131,TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,-0.3546280614204017,12977.917357773027,519649,469076,453576,1442301,453576,469076,476090.6,13.9138,36.012786865234375,6277,3097,3756,-576,3756,3097
148,140,TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,-0.362584721665881,13047.433376159095,519649,469076,453576,1442301,453576,469076,476090.6,13.9138,40.8378119468689,6277,3097,3756,-576,3756,3097
141,133,TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,-0.3559039252245703,12989.08737985738,519649,469076,453576,1442301,453576,469076,476090.6,13.9138,41.34709882736206,6277,3097,3756,-576,3756,3097
46,38,PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,-0.7694153339426255,17755.05730162346,524490,464916,451864,1441270,451864,464916,474220.4,12.4086,70.96846199035645,5246,1385,-404,4265,-404,1385
42,34,PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,-0.7690102978088632,17748.75572133899,524490,464916,451864,1441270,451864,464916,474220.4,12.4086,77.56700611114502,5246,1385,-404,4265,-404,1385
48,40,PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,-0.7693413888529935,17753.863113292795,524490,464916,451864,1441270,451864,464916,474220.4,12.4086,61.97669291496277,5246,1385,-404,4265,-404,1385
106,98,PEBBLES_XS,UV_VISOR_AMBER,1.388561655273618,-3593.107091220367,520732,467387,452343,1440462,452343,467387,475047.2,13.3608,47.13336777687073,4438,1864,2067,507,2067,1864
67,59,SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,2.351705130651962,-13337.84100339962,521929,466949,451322,1440200,451322,466949,474819.6,12.9446,57.0048131942749,4176,843,1629,1704,1629,843
43,35,SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,2.321531567565331,-13007.664098057976,521929,466949,451322,1440200,451322,466949,474819.6,12.9446,61.14142322540283,4176,843,1629,1704,1629,843
65,57,SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,2.3527089540184907,-13348.896096434935,521929,466949,451322,1440200,451322,466949,474819.6,12.9446,58.79248285293579,4176,843,1629,1704,1629,843
72,64,SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,2.3479699380283714,-13296.739921940798,521929,466949,451322,1440200,451322,466949,474819.6,12.9446,68.34697604179382,4176,843,1629,1704,1629,843
110,102,PEBBLES_XS,UV_VISOR_AMBER,1.3933397217769254,-3619.163706808231,521047,466533,452343,1439923,452343,466533,474597.8,13.2331,48.4167697429657,3899,1864,1213,822,1213,1864
104,96,PEBBLES_XS,UV_VISOR_AMBER,1.3931194919566812,-3617.915393109361,521047,466533,452343,1439923,452343,466533,474597.8,13.2331,50.97759485244751,3899,1864,1213,822,1213,1864
108,100,PEBBLES_XS,UV_VISOR_AMBER,1.3923024535988002,-3613.253559847587,521047,466533,452343,1439923,452343,466533,474597.8,13.2331,48.64278984069824,3899,1864,1213,822,1213,1864
114,106,SNACKPACK_STRAWBERRY,SLEEP_POD_POLYESTER,0.3253198362113076,6855.153570031603,521601,467264,450922,1439787,450922,467264,474863.0,12.9702,48.49879693984985,3763,443,1944,1376,1944,443
88,80,SNACKPACK_STRAWBERRY,SLEEP_POD_POLYESTER,0.3242444420387684,6870.024333704087,521601,467264,450922,1439787,450922,467264,474863.0,12.9702,50.754098892211914,3763,443,1944,1376,1944,443
102,94,SNACKPACK_STRAWBERRY,SLEEP_POD_POLYESTER,0.3254754528137944,6852.821516561052,521601,467264,450922,1439787,450922,467264,474863.0,12.9702,37.992290019989014,3763,443,1944,1376,1944,443
111,103,SNACKPACK_STRAWBERRY,SLEEP_POD_POLYESTER,0.3254437803404871,6853.2973690188455,521601,467264,450922,1439787,450922,467264,474863.0,12.9702,41.954720973968506,3763,443,1944,1376,1944,443
162,154,SNACKPACK_PISTACHIO,MICROCHIP_OVAL,0.0907151516120979,8753.805527706438,520852,467572,451068,1439492,451068,467572,474927.2,13.1564,45.08054971694946,3468,589,2252,627,2252,589
163,155,SNACKPACK_PISTACHIO,MICROCHIP_OVAL,0.0906959920029524,8753.86307704348,520852,467572,451068,1439492,451068,467572,474927.2,13.1564,44.87195301055908,3468,589,2252,627,2252,589
164,156,SNACKPACK_PISTACHIO,MICROCHIP_OVAL,0.0906269634640881,8754.06368970703,520852,467572,451068,1439492,451068,467572,474927.2,13.1564,44.47861695289612,3468,589,2252,627,2252,589
142,134,SNACKPACK_VANILLA,PANEL_2X4,0.1490704816817463,8418.012472433675,522797,467359,449083,1439239,449083,467359,474791.4,12.4978,41.766257762908936,3215,-1396,2039,2572,2039,-1396
145,137,SNACKPACK_VANILLA,PANEL_2X4,0.1489969745294914,8418.804623162,522797,467359,449083,1439239,449083,467359,474791.4,12.4978,38.53188729286194,3215,-1396,2039,2572,2039,-1396
155,147,SNACKPACK_VANILLA,PANEL_2X4,0.1494065264291233,8414.356524737537,522797,467359,449083,1439239,449083,467359,474791.4,12.4978,51.963907957077026,3215,-1396,2039,2572,2039,-1396
158,150,SNACKPACK_VANILLA,PANEL_2X4,0.1512741548739461,8393.873014805138,522797,467359,449083,1439239,449083,467359,474791.4,12.4978,48.91405200958252,3215,-1396,2039,2572,2039,-1396
107,99,GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,0.3723433389937314,6146.707957072923,520612,465306,452375,1438293,452375,465306,473781.0,13.2275,45.01097917556763,2269,1896,-14,387,-14,1896
93,85,GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,0.3717316422735988,6153.3682394740235,520612,465306,452375,1438293,452375,465306,473781.0,13.2275,37.9575309753418,2269,1896,-14,387,-14,1896
90,82,GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,0.3725008942252533,6144.994437218317,520612,465306,452375,1438293,452375,465306,473781.0,13.2275,41.95815181732178,2269,1896,-14,387,-14,1896
95,87,PEBBLES_M,ROBOT_IRONING,-0.7284392640470874,16601.955772478315,519250,468553,450452,1438255,450452,468553,475072.2,13.4431,43.82876896858215,2231,-27,3233,-975,3233,-27
94,86,PEBBLES_M,ROBOT_IRONING,-0.7284352781218678,16601.803879151346,519250,468553,450452,1438255,450452,468553,475072.2,13.4431,39.03831100463867,2231,-27,3233,-975,3233,-27
97,89,PEBBLES_M,ROBOT_IRONING,-0.728455173325091,16602.54056515899,519250,468499,450452,1438201,450452,468499,475039.8,13.4395,39.63550877571106,2177,-27,3179,-975,3179,-27
89,81,PEBBLES_M,ROBOT_IRONING,-0.7289481998161417,16609.41297806013,519250,468499,450452,1438201,450452,468499,475039.8,13.4395,44.14876413345337,2177,-27,3179,-975,3179,-27
68,60,SLEEP_POD_POLYESTER,UV_VISOR_AMBER,-0.9159057482909352,19095.564289887556,521198,465320,451652,1438170,451652,465320,473762.0,13.0106,71.90834784507751,2146,1173,0,973,0,1173
55,47,SLEEP_POD_POLYESTER,UV_VISOR_AMBER,-0.922343009134443,19138.28450459743,521198,465320,451652,1438170,451652,465320,473762.0,13.0106,71.2170341014862,2146,1173,0,973,0,1173
54,46,SLEEP_POD_POLYESTER,UV_VISOR_AMBER,-0.9225733259659192,19139.766267343028,521198,465320,451652,1438170,451652,465320,473762.0,13.0106,66.34848093986511,2146,1173,0,973,0,1173
53,45,SLEEP_POD_POLYESTER,UV_VISOR_AMBER,-0.9214745708124292,19132.670249221737,521198,465320,451652,1438170,451652,465320,473762.0,13.0106,66.49103808403015,2146,1173,0,973,0,1173
115,107,SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,-0.3240128557337444,13273.34168277188,519133,466964,451995,1438092,451995,466964,474404.0,13.601,45.95584201812744,2068,1516,1644,-1092,1644,1516
125,117,SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,-0.3255807704052871,13283.150763786382,519133,466964,451995,1438092,451995,466964,474404.0,13.601,39.2911319732666,2068,1516,1644,-1092,1644,1516
129,121,SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,-0.3258897302582937,13284.981103042262,519133,466964,451995,1438092,451995,466964,474404.0,13.601,49.02069926261902,2068,1516,1644,-1092,1644,1516
128,120,SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,-0.3258280537962662,13284.622127262548,519133,466964,451995,1438092,451995,466964,474404.0,13.601,45.33568787574768,2068,1516,1644,-1092,1644,1516
79,71,GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,0.3689380820623889,6183.87642392147,520612,465306,452142,1438060,452142,465306,473734.4,13.1936,69.05519104003906,2036,1663,-14,387,-14,1663
39,31,PEBBLES_S,OXYGEN_SHAKE_GARLIC,-0.7727237760193734,18145.83491576894,521370,466436,450229,1438035,450229,466436,474181.4,12.8559,80.9764289855957,2011,-250,1116,1145,1116,-250
47,39,PEBBLES_S,OXYGEN_SHAKE_GARLIC,-0.7727027691234808,18147.2455211014,521370,466436,450229,1438035,450229,466436,474181.4,12.8559,63.509870290756226,2011,-250,1116,1145,1116,-250
51,43,PEBBLES_S,OXYGEN_SHAKE_GARLIC,-0.7727200834350947,18147.107658276203,521370,466436,450229,1438035,450229,466436,474181.4,12.8559,63.75438189506531,2011,-250,1116,1145,1116,-250
60,52,PEBBLES_S,OXYGEN_SHAKE_GARLIC,-0.7718228093270282,18127.722946312624,521275,466436,450229,1437940,450229,466436,474162.4,12.8735,66.72201085090637,1916,-250,1116,1050,1116,-250
84,76,UV_VISOR_AMBER,SLEEP_POD_POLYESTER,-0.9552593780062484,19215.393329985007,520102,465320,452067,1437489,452067,465320,473625.8,13.2849,61.87018585205078,1465,1588,0,-123,0,1588
92,84,UV_VISOR_AMBER,SLEEP_POD_POLYESTER,-0.959518962160613,19272.865267578487,520102,465320,452067,1437489,452067,465320,473625.8,13.2849,40.78099203109741,1465,1588,0,-123,0,1588
101,93,UV_VISOR_AMBER,SLEEP_POD_POLYESTER,-0.9584839001822808,19259.19503065382,520102,465320,452067,1437489,452067,465320,473625.8,13.2849,45.6064772605896,1465,1588,0,-123,0,1588
99,91,UV_VISOR_AMBER,SLEEP_POD_POLYESTER,-0.9593041446890244,19270.02541757595,520102,465320,452067,1437489,452067,465320,473625.8,13.2849,45.83343195915222,1465,1588,0,-123,0,1588
126,118,SLEEP_POD_SUEDE,MICROCHIP_SQUARE,0.4515564561361945,5259.570197700354,521216,465491,450203,1436910,450203,465491,473578.4,12.8149,39.270002126693726,886,-276,171,991,171,-276
123,115,SLEEP_POD_SUEDE,MICROCHIP_SQUARE,0.4516242770887284,5257.749218242207,521216,465491,450203,1436910,450203,465491,473578.4,12.8149,37.035202980041504,886,-276,171,991,171,-276
121,113,SLEEP_POD_SUEDE,MICROCHIP_SQUARE,0.4516141237004989,5258.074918911748,521216,465491,450203,1436910,450203,465491,473578.4,12.8149,37.53225803375244,886,-276,171,991,171,-276
118,110,SLEEP_POD_SUEDE,MICROCHIP_SQUARE,0.4511103530416515,5269.195933417363,521216,465491,450203,1436910,450203,465491,473578.4,12.8149,50.471758127212524,886,-276,171,991,171,-276
52,44,ROBOT_IRONING,SNACKPACK_PISTACHIO,3.187580023317318,-21567.276068616477,520962,465157,450609,1436728,450609,465157,473408.4,12.8954,63.517802000045776,704,130,-163,737,-163,130
50,42,ROBOT_IRONING,SNACKPACK_PISTACHIO,3.1878405489502906,-21570.08361929973,520962,465157,450609,1436728,450609,465157,473408.4,12.8954,64.90316319465637,704,130,-163,737,-163,130
73,65,ROBOT_IRONING,SNACKPACK_PISTACHIO,3.1891784028978445,-21584.091457267623,520962,465157,450609,1436728,450609,465157,473408.4,12.8954,114.26964402198792,704,130,-163,737,-163,130
82,74,PANEL_2X4,OXYGEN_SHAKE_GARLIC,0.5544637923840529,4653.115945040127,520406,466393,449741,1436540,449741,466393,473865.2,12.9621,54.9695348739624,516,-738,1073,181,1073,-738
83,75,PANEL_2X4,OXYGEN_SHAKE_GARLIC,0.5543780111137526,4654.452549226243,520406,466393,449741,1436540,449741,466393,473865.2,12.9621,62.14008378982544,516,-738,1073,181,1073,-738
81,73,PANEL_2X4,OXYGEN_SHAKE_GARLIC,0.5541264229945312,4658.623237600704,520406,466393,449741,1436540,449741,466393,473865.2,12.9621,57.816457986831665,516,-738,1073,181,1073,-738
117,109,PANEL_2X4,OXYGEN_SHAKE_GARLIC,0.5528804744003539,4679.627400194718,520406,466393,449741,1436540,449741,466393,473865.2,12.9621,51.91767597198486,516,-738,1073,181,1073,-738
98,90,OXYGEN_SHAKE_CHOCOLATE,MICROCHIP_CIRCLE,0.8690837811006891,1550.403811444466,521375,464396,450736,1436507,450736,464396,473059.8,12.7799,39.9084370136261,483,257,-924,1150,-924,257
41,33,ROBOT_IRONING,PEBBLES_M,-0.915306293105909,18089.46446260394,520506,465449,450479,1436434,450479,465449,473466.4,12.9843,76.80195498466492,410,0,129,281,129,0
76,68,GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,-0.5379408297010201,15493.192458673157,520231,465638,450479,1436348,450479,465638,473524.8,13.0505,60.4562828540802,324,0,318,6,318,0
59,51,GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,-0.5393360567523138,15507.580615623154,520231,465638,450479,1436348,450479,465638,473524.8,13.0505,66.82307887077332,324,0,318,6,318,0
77,69,GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,-0.5377188512714576,15490.885614818251,520231,465556,450479,1436266,450479,465556,473475.6,13.0446,56.36730599403381,242,0,236,6,236,0
62,54,GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,-0.5376632969240946,15490.29577772381,520231,465556,450479,1436266,450479,465556,473475.6,13.0446,65.79016089439392,242,0,236,6,236,0
157,149,SNACKPACK_PISTACHIO,ROBOT_IRONING,0.1862776360787616,7872.729885405478,520266,465499,450479,1436244,450479,465499,473448.4,13.0337,44.15333104133606,220,0,179,41,179,0
161,153,SNACKPACK_PISTACHIO,ROBOT_IRONING,0.1884660670142343,7855.870910333828,520266,465499,450479,1436244,450479,465499,473448.4,13.0337,39.67185974121094,220,0,179,41,179,0
160,152,SNACKPACK_PISTACHIO,ROBOT_IRONING,0.1880313338001796,7859.236047065387,520266,465499,450479,1436244,450479,465499,473448.4,13.0337,48.46918702125549,220,0,179,41,179,0
159,151,SNACKPACK_PISTACHIO,ROBOT_IRONING,0.1883702903240081,7856.615093226784,520266,465499,450479,1436244,450479,465499,473448.4,13.0337,48.41506290435791,220,0,179,41,179,0
56,48,ROBOT_IRONING,PEBBLES_M,-0.915377205267104,18095.13357057347,520276,465449,450479,1436204,450479,465449,473420.4,13.0281,71.32437515258789,180,0,129,51,129,0
75,67,ROBOT_IRONING,PEBBLES_M,-0.915357931373826,18096.05464595134,520276,465449,450479,1436204,450479,465449,473420.4,13.0281,112.9586091041565,180,0,129,51,129,0
49,41,ROBOT_IRONING,PEBBLES_M,-0.9153750089182504,18096.00183821018,520276,465449,450479,1436204,450479,465449,473420.4,13.0281,65.14791512489319,180,0,129,51,129,0
150,142,SNACKPACK_PISTACHIO,OXYGEN_SHAKE_GARLIC,-0.1487624807481059,11269.905145842196,520259,465320,450541,1436120,450541,465320,473352.0,13.0309,40.742897033691406,96,62,0,34,0,62
