label,beta_overrides,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,elapsed_s,GALAXY_SOUNDS_BLACK_HOLES_3day,GALAXY_SOUNDS_BLACK_HOLES_d2,GALAXY_SOUNDS_BLACK_HOLES_d3,GALAXY_SOUNDS_BLACK_HOLES_d4,MICROCHIP_OVAL_3day,MICROCHIP_OVAL_d2,MICROCHIP_OVAL_d3,MICROCHIP_OVAL_d4,MICROCHIP_SQUARE_3day,MICROCHIP_SQUARE_d2,MICROCHIP_SQUARE_d3,MICROCHIP_SQUARE_d4,MICROCHIP_TRIANGLE_3day,MICROCHIP_TRIANGLE_d2,MICROCHIP_TRIANGLE_d3,MICROCHIP_TRIANGLE_d4,OXYGEN_SHAKE_CHOCOLATE_3day,OXYGEN_SHAKE_CHOCOLATE_d2,OXYGEN_SHAKE_CHOCOLATE_d3,OXYGEN_SHAKE_CHOCOLATE_d4,OXYGEN_SHAKE_EVENING_BREATH_3day,OXYGEN_SHAKE_EVENING_BREATH_d2,OXYGEN_SHAKE_EVENING_BREATH_d3,OXYGEN_SHAKE_EVENING_BREATH_d4,PANEL_1X4_3day,PANEL_1X4_d2,PANEL_1X4_d3,PANEL_1X4_d4,ROBOT_DISHES_3day,ROBOT_DISHES_d2,ROBOT_DISHES_d3,ROBOT_DISHES_d4,SLEEP_POD_POLYESTER_3day,SLEEP_POD_POLYESTER_d2,SLEEP_POD_POLYESTER_d3,SLEEP_POD_POLYESTER_d4,UV_VISOR_AMBER_3day,UV_VISOR_AMBER_d2,UV_VISOR_AMBER_d3,UV_VISOR_AMBER_d4
v00_baseline,{},456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_GALAXY_SOUNDS_BLACK_HOLES_b0.05,"{""GALAXY_SOUNDS_BLACK_HOLES"": 0.05}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,43.9,67188,13140,29979,24069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_GALAXY_SOUNDS_BLACK_HOLES_b0.1,"{""GALAXY_SOUNDS_BLACK_HOLES"": 0.1}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,40.3,67188,13140,29979,24069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_GALAXY_SOUNDS_BLACK_HOLES_b0.15,"{""GALAXY_SOUNDS_BLACK_HOLES"": 0.15}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,44.2,67188,13140,29979,24069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_GALAXY_SOUNDS_BLACK_HOLES_b0.2,"{""GALAXY_SOUNDS_BLACK_HOLES"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,44.3,67188,13140,29979,24069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_GALAXY_SOUNDS_BLACK_HOLES_b0.3,"{""GALAXY_SOUNDS_BLACK_HOLES"": 0.3}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,39.7,67188,13140,29979,24069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_GALAXY_SOUNDS_BLACK_HOLES_b0.4,"{""GALAXY_SOUNDS_BLACK_HOLES"": 0.4}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,36.5,67188,13140,29979,24069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_GALAXY_SOUNDS_BLACK_HOLES_b0.6,"{""GALAXY_SOUNDS_BLACK_HOLES"": 0.6}",456300,446200,456300,489823,456300,446200,456300,460984.6,1392322,20.3237,24766,23.9,67230,13140,30021,24069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_OVAL_b0.05,"{""MICROCHIP_OVAL"": 0.05}",456660,446188,456660,489823,456660,446188,456660,461198.2,1392670,20.3787,24766,63.6,,,,,10675,4638,5001,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_OVAL_b0.1,"{""MICROCHIP_OVAL"": 0.1}",456660,446188,456660,489823,456660,446188,456660,461198.2,1392670,20.3787,24766,63.4,,,,,10675,4638,5001,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
